
2;Budget Feminine Green 2;["60f6423e8947a20489a96072","60f6423e8947a20489a9607f"];read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224;18;60cabc8327a131004cceb1ac;Ignorant Rotten Euphoric Present Station Defiant Fire Other Common Cup Assistance Solid Street Impact Salary Car Appearance Height Tidy Pristine Crushing Storm Field List Peace Pure Well-off Cooked Guilty Ringed Suburban Scrawny Baggy Miserly Lumbering Attached Occasional 2;60cabc7f27a131004cceabd6;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png;6;60cabc8c27a131004ccec0bb;0;Tue Jul 20 2021 03:46:49 GMT+0700 (Indochina Time);85386
6;Feisty 6;["60f6423e8947a20489a96072","60f6423e8947a20489a9607f"];read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224;21;60cabc8327a131004cceb1ad;Angle Gentle Caring Employer Tinted Insistent Extraneous Regret Go Health Sorrowful Mind School Marvelous Classic Sardonic Live Bold Other Satisfaction 6;60cabc7f27a131004cceabd6;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png;8;60cabc8c27a131004ccec0bb;15;Mon Jul 19 2021 13:12:44 GMT+0700 (Indochina Time);77707
10;10;["60f6423e8947a20489a96072","60f6423e8947a20489a9607f"];read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224;6;60cabc8327a131004cceb1ae;Treasured Doctor Promotion Unhappy Unwitting Delicious Competent Hour Sardonic Rule Management Relieved Granular Condition Muddy Unhealthy Flimsy Dimpled Method Necessary Third Breakfast Jumbo Period Weather Variation Careful Title Tidy Lazy 10;60cabc7f27a131004cceabd6;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/2cc26488-faf9-43fc-9214-da6fb8cf71b1-ep1.png;9;60cabc8c27a131004ccec0bb;0;Mon Jul 19 2021 08:52:00 GMT+0700 (Indochina Time);5174005
14;Ecstatic Tooth Steep Harm 14;["60f6423e8947a20489a96072","60f6423e8947a20489a9607f"];read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224;18;60cabc8327a131004cceb1af;Work Maintenance Method Alert Extent Fake Easy Quaint Yawning Maintenance Comfortable Wet International Thrifty Platform Sophisticated Prompt Defenseless Elliptical Currency 14;60cabc7f27a131004cceabd6;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png;9;60cabc8c27a131004ccec0bb;43;Mon Jul 19 2021 17:10:40 GMT+0700 (Indochina Time);6570
18;Pull 18;["60f6423e8947a20489a96072","60f6423e8947a20489a9607f"];read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224;21;60cabc8327a131004cceb1b0;Highlight Far-flung Tender Palatable Similar Steel Boiling Unwritten Antique Struggle Revolution Lopsided Teeming Tour Specialist Focused Tart Graceful Meaning Pass Cow Oddball Mobile Common Watery Impress Fine Fee Manager Elastic Mall Nasty Difference Gullible Screen 18;60cabc7f27a131004cceabd6;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png;3;60cabc8c27a131004ccec0bb;0;Tue Jul 20 2021 03:02:01 GMT+0700 (Indochina Time);4053
22;Variation 22;["60f6423e8947a20489a96072","60f6423e8947a20489a9607f"];read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224;6;60cabc8327a131004cceb1b1;Unwilling Humiliating Awesome Ornery Rain Nurse Star Spring Leafy Muddy Question Kosher Keen Evergreen Colorless Wiry Girlfriend Language Process Mountainous Set Acrobatic Championship 22;60cabc7f27a131004cceabd6;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/2cc26488-faf9-43fc-9214-da6fb8cf71b1-ep1.png;2;60cabc8c27a131004ccec0bb;71;Mon Jul 19 2021 12:53:33 GMT+0700 (Indochina Time);455885
26;Print Scared 26;["60f6423e8947a20489a96072","60f6423e8947a20489a9607f"];read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224;18;60cabc8327a131004cceb1b2;Outstanding Elastic Structure Section Illiterate Remarkable Protection Agonizing Happy Generous Giving Entire Playful Stable Nervous Unwitting Intentional Specialist Dental Joint Profitable Clock Capital Western Whispered Tomorrow Nautical Mine Frosty Reading Rowdy Tip Trainer Bad Wobbly Service Till Digital Run Increase Colorless International Photo 26;60cabc7f27a131004cceabd6;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png;4;60cabc8c27a131004ccec0bb;0;Tue Jul 20 2021 11:54:48 GMT+0700 (Indochina Time);34980
30;Tree 30;["60f6423e8947a20489a96072","60f6423e8947a20489a9607f"];read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224;21;60cabc8327a131004cceb1b3;Change Ugly Overdue Knotty Upstairs Bear Employment Gifted Homework Wood Pastel Blow Bone Parched Camera Kid Rough Husband Elderly Cream Confidence Our Likable Neck Press Card Bewitched Try Shocking Previous Nose Character Drab Safe Popular Mundane Better Deep Speech Punctual 30;60cabc7f27a131004cceabd6;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png;1;60cabc8c27a131004ccec0bb;93;Tue Jul 20 2021 03:32:19 GMT+0700 (Indochina Time);6181
34;Grade Deep 34;["60f6423e8947a20489a96072","60f6423e8947a20489a9607f"];read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224;6;60cabc8327a131004cceb1b4;Previous Profuse Ajar Trained Gaseous Stupid Chief Paper Original Local Order Stretch Aggravating Giving Product Specific Recommendation Log Purchase Ambitious Grotesque Disgusting Document Foundation Language Measly Ambitious Figure Engine Dismal Heartfelt Adolescent Doubt Prize Rich Taste Foolish Interaction Average Glass Pure Equipment Opening Shower Session Medicine Murky 34;60cabc7f27a131004cceabd6;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/2cc26488-faf9-43fc-9214-da6fb8cf71b1-ep1.png;5;60cabc8c27a131004ccec0bb;0;Wed Jul 21 2021 04:47:19 GMT+0700 (Indochina Time);7899505
38;Shock Major Descriptive Head 38;["60f6423e8947a20489a96072","60f6423e8947a20489a9607f"];read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224;18;60cabc8327a131004cceb1b5;Automatic Evidence Shrill Access Employment Boat First Bewitched Adorable Breakfast Hungry Internal Shoulder Miserly Relief Impure Impartial Dual Salt Sample Rate Wake Branch Soulful Vital Doting Home Beautiful Purchase Lively Juicy Management Golf Baby Caring 38;60cabc7f27a131004cceabd6;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png;2;60cabc8c27a131004ccec0bb;47;Mon Jul 19 2021 11:27:16 GMT+0700 (Indochina Time);7781
