2;To Kill a Mockingbird 2;Comic;read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224;18;60cabc7827a131004ccea1c1;This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 2;60cabc7827a131004ccea1a1;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png;1;60be2d9d6a90b5004d9d6a1b;0
6;To Kill a Mockingbird 6;Comic;read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224;21;60cabc7827a131004ccea1c5;This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 6;60cabc7827a131004ccea1a1;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/2cc26488-faf9-43fc-9214-da6fb8cf71b1-ep1.png;1;60be2d9d6a90b5004d9d6a1b;0
10;To Kill a Mockingbird 10;Comic;read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224;6;60cabc7827a131004ccea1c9;This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 10;60cabc7827a131004ccea1a1;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png;1;60be2d9d6a90b5004d9d6a1b;0
14;To Kill a Mockingbird 14;Comic;read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224;18;60cabc7827a131004ccea1cd;This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 14;60cabc7827a131004ccea1a1;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png;1;60be2d9d6a90b5004d9d6a1b;0
18;To Kill a Mockingbird 18;Comic;read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224;21;60cabc7827a131004ccea1d1;This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 18;60cabc7827a131004ccea1a1;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/2cc26488-faf9-43fc-9214-da6fb8cf71b1-ep1.png;1;60be2d9d6a90b5004d9d6a1b;0
2;The Great Gatsby 2;Comic;read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224;18;60cabc7827a131004ccea1d5;F. Scott Fitzgerald’s The Great Gatsby is distinguished as one of the greatest texts for introducing students to the art of reading literature critically (which means you may have read it in school). for episode 2;60cabc7827a131004ccea1a2;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png;1;60be2d9d6a90b5004d9d6a1b;0
6;The Great Gatsby 6;Comic;read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224;21;60cabc7827a131004ccea1d9;F. Scott Fitzgerald’s The Great Gatsby is distinguished as one of the greatest texts for introducing students to the art of reading literature critically (which means you may have read it in school). for episode 6;60cabc7827a131004ccea1a2;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/2cc26488-faf9-43fc-9214-da6fb8cf71b1-ep1.png;1;60be2d9d6a90b5004d9d6a1b;0
10;The Great Gatsby 10;Comic;read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224;6;60cabc7827a131004ccea1dd;F. Scott Fitzgerald’s The Great Gatsby is distinguished as one of the greatest texts for introducing students to the art of reading literature critically (which means you may have read it in school). for episode 10;60cabc7827a131004ccea1a2;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png;1;60be2d9d6a90b5004d9d6a1b;0
14;The Great Gatsby 14;Comic;read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224;18;60cabc7827a131004ccea1e1;F. Scott Fitzgerald’s The Great Gatsby is distinguished as one of the greatest texts for introducing students to the art of reading literature critically (which means you may have read it in school). for episode 14;60cabc7827a131004ccea1a2;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png;1;60be2d9d6a90b5004d9d6a1b;0
18;The Great Gatsby 18;Comic;read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224;21;60cabc7827a131004ccea1e5;F. Scott Fitzgerald’s The Great Gatsby is distinguished as one of the greatest texts for introducing students to the art of reading literature critically (which means you may have read it in school). for episode 18;60cabc7827a131004ccea1a2;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/2cc26488-faf9-43fc-9214-da6fb8cf71b1-ep1.png;1;60be2d9d6a90b5004d9d6a1b;0
2;One Hundred Years of Solitude 2;Comic;read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224;18;60cabc7827a131004ccea1e9;The late Colombian author Gabriel García Márquez published his most-famous work, One Hundred Years of Solitude, in 1967. for episode 2;60cabc7827a131004ccea1a3;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png;1;60be2d9d6a90b5004d9d6a1b;0
6;One Hundred Years of Solitude 6;Comic;read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224;21;60cabc7827a131004ccea1ed;The late Colombian author Gabriel García Márquez published his most-famous work, One Hundred Years of Solitude, in 1967. for episode 6;60cabc7827a131004ccea1a3;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/2cc26488-faf9-43fc-9214-da6fb8cf71b1-ep1.png;1;60be2d9d6a90b5004d9d6a1b;0
10;One Hundred Years of Solitude 10;Comic;read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224;6;60cabc7827a131004ccea1f1;The late Colombian author Gabriel García Márquez published his most-famous work, One Hundred Years of Solitude, in 1967. for episode 10;60cabc7827a131004ccea1a3;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png;1;60be2d9d6a90b5004d9d6a1b;0
14;One Hundred Years of Solitude 14;Comic;read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224;18;60cabc7827a131004ccea1f5;The late Colombian author Gabriel García Márquez published his most-famous work, One Hundred Years of Solitude, in 1967. for episode 14;60cabc7827a131004ccea1a3;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png;1;60be2d9d6a90b5004d9d6a1b;0
18;One Hundred Years of Solitude 18;Comic;read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224;21;60cabc7827a131004ccea1f9;The late Colombian author Gabriel García Márquez published his most-famous work, One Hundred Years of Solitude, in 1967. for episode 18;60cabc7827a131004ccea1a3;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/2cc26488-faf9-43fc-9214-da6fb8cf71b1-ep1.png;1;60be2d9d6a90b5004d9d6a1b;0
2;A Passage to India 2;Comic;read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224;18;60cabc7827a131004ccea1fd;E.M. Forster wrote his novel A Passage to India after multiple trips to the country throughout his early life. for episode 2;60cabc7827a131004ccea1a4;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png;1;60be2d9d6a90b5004d9d6a1b;0
